訂單號,訂單序號,品號,品名,規格,訂單數量,單價,訂單金額,匯率,結案碼,客戶代號,客戶簡稱,型態別,通路別
201507001  ,0002,131000029,軸封新品,XXS0625AMN00002,1.0,49500.0,99000.0,1.0,Y,S0003,UMC 8C,201,101
201507002  ,0001,132000054,軸封新品,BBS0375CNR00001,1.0,9700.0,9700.0,1.0,Y,O0063,光頡科技,201,103
201507003  ,0001,132000102,軸封新品,BXX1000CMN00001,1.0,88000.0,88000.0,1.0,Y,O0023,亞太竑,203,106
201507004  ,0001,132000006,軸封新品,AFM0020CNR00,2.0,17800.0,35600.0,1.0,Y,F0066,永喬,203,102
201507005  ,0001,214000002,軸封組,軸封+零件/102106580_000_07,2.0,1445.0,6750.0,30.86,Y,O0006,艾美瑞,223,102
201507005  ,0002,214000001,軸封組,軸封+零件/102104669_000_09,1.0,1870.0,6750.0,30.86,Y,O0006,艾美瑞,223,102
201507005  ,0003,214000003,軸封組,軸封+零件/102110339_000_00,1.0,1990.0,6750.0,30.86,Y,O0006,艾美瑞,223,102
201507006  ,0001,132000133,軸封新品,AFM0020CNR01,1.0,10000.0,10000.0,1.0,Y,O0055,旭騰,203,107
201507007  ,0001,114000006,軸封+迴轉接頭,131000068+410180001,1.0,73500.0,73500.0,1.0,Y,F0019,日揚,203,101
201507008  ,0001,131000048,軸封新品,XXS0625ANH00001,1.0,0.0,0.0,1.0,Y,S0003,UMC 8C,201,101
201507008  ,0002,131000049,軸封新品,XXS0625ANH00002,1.0,0.0,0.0,1.0,Y,S0003,UMC 8C,201,101
201507009  ,0001,132000146,軸封新品,AGS0006CMU00001,1.0,32500.0,32500.0,1.0,Y,O0064,向新,202,107
201507010  ,0001,131000025,軸封新品,XXS0625AMN00001,1.0,0.0,0.0,1.0,Y,S0003,UMC 8C,201,101
201507010  ,0002,131000029,軸封新品,XXS0625AMN00002,1.0,0.0,0.0,1.0,Y,S0003,UMC 8C,201,101
201508001  ,0001,131000059,軸封新品,AFS0012WNN00001,1.0,25200.0,25200.0,1.0,Y,O0030,漢民,202,101
201508002  ,0001,214000006,軸封組,軸封+零件/102238311_000_03,2.0,2200.0,9705.0,31.57,Y,F0001,AMAT,202,102
201508002  ,0002,214000002,軸封組,軸封+零件/102106580_000_07,1.0,1445.0,9705.0,31.57,Y,F0001,AMAT,202,102
201508002  ,0003,214000001,軸封組,軸封+零件/102104669_000_09,1.0,1870.0,9705.0,31.57,Y,F0001,AMAT,202,102
201508002  ,0004,214000003,軸封組,軸封+零件/102110339_000_00,1.0,1990.0,9705.0,31.57,Y,F0001,AMAT,202,102
201508003  ,0001,132000135,軸封新品,AXS0006CNR00001,1.0,9250.0,37000.0,1.0,Y,S0091,TSMC-8,201,101
201508003  ,0002,99999,132000135 軸封新品,AXS0006CNR00001,1.0,9250.0,37000.0,1.0,N,S0091,TSMC-8,201,101
201508003  ,0003,99999,132000135 軸封新品,AXS0006CNR00001,1.0,9250.0,37000.0,1.0,N,S0091,TSMC-8,201,101
201508003  ,0004,99999,132000135 軸封新品,AXS0006CNR00001,1.0,9250.0,37000.0,1.0,N,S0091,TSMC-8,201,101
201508004  ,0001,132000046,軸封新品,XXS0030CMR00004,8.0,0.0,0.0,31.57,N,F0001,AMAT,202,102
201509001  ,0001,123000012,車床吸頭、遮罩及廢料儲存桶,,2.0,17100.0,66750.0,1.0,N,O0039,應用奈米,201,107
201509001  ,0002,123000013,銑床吸頭、遮罩及廢料儲存桶,,1.0,14900.0,66750.0,1.0,N,O0039,應用奈米,201,107
201509001  ,0003,8100006,集塵桶安裝工時(實報實銷),,1.0,800.0,66750.0,1.0,N,O0039,應用奈米,201,107
201509001  ,0004,420010027,吸塵馬達,CVS-16,1.0,16850.0,66750.0,1.0,N,O0039,應用奈米,201,107
201509002  ,0001,131000060,軸封新品,AFS0012WMN00001,1.0,35000.0,35000.0,1.0,Y,O0030,漢民,202,101
201509003  ,0001,131000056,軸封新品,AFM0040WNR00001,1.0,68000.0,68000.0,1.0,Y,O0030,漢民,202,101
201509004  ,0001,131000059,軸封新品,AFS0012WNN00001,4.0,24900.0,99600.0,1.0,y,O0030,漢民,202,101
201509005  ,0001,132000007,軸封新品,AFS0020CNR00,2.0,420.0,840.0,32.5,Y,O0072,海拓,222,107
201509006  ,0001,99999,AL2290 Feedthrough,XXS0030WNR00011,2.0,52000.0,104000.0,1.0,Y,F0009,INX-4,201,102
201509007  ,0001,99999,AL2290 Feedthrough,XXS0030WNR00011,2.0,52000.0,104000.0,1.0,Y,F0009,INX-4,201,102
201509008  ,0001,132000006,軸封新品,AFM0020CNR00,1.0,23000.0,23000.0,1.0,Y,F0003,ULVAC,202,102
201509009  ,0001,132000006,軸封新品,AFM0020CNR00,1.0,23000.0,23000.0,1.0,Y,F0003,ULVAC,202,102
201510001  ,0001,132000158,軸封新品,AXS0016CNR00002,1.0,48000.0,48000.0,1.0,Y,O0030,漢民,202,101
201510002  ,0001,132000007,軸封新品,AFS0020CNR00,2.0,15500.0,31000.0,1.0,Y,O0018,巨孚,202,106
201510003  ,0001,114000006,軸封+迴轉接頭,131000068+410180001,1.0,73500.0,73500.0,1.0,Y,F0019,日揚,203,101
201511001  ,0002,214000001,軸封組,軸封+零件/102104669_000_09,2.0,1870.0,3740.0,32.185,Y,O0006,艾美瑞,223,102
201511002  ,0001,214000002,軸封組/102106580_000_07,軸封+零件,1.0,1445.0,1445.0,32.29,Y,F0002,AMAT,202,102
201511003  ,0001,132000003,軸封新品,XNS0020CNX00001,1.0,77000.0,77000.0,1.0,N,S0015,新唐,201,101
201511004  ,0001,132000106,軸封新品,ACH0012CNR00,1.0,13000.0,13000.0,1.0,Y,S0024,亮傑,202,101
201512001  ,0001,132000003,軸封新品,XNS0020CNX00001,1.0,0.0,0.0,1.0,Y,S0015,新唐,201,101
201512002  ,0001,132000160,軸封新品(永喬),AFM0020CNR03,2.0,17800.0,35600.0,1.0,Y,F0066,永喬,203,102
201512003  ,0001,214000002,軸封組/102106580_000_07,軸封+零件,4.0,1445.0,5780.0,32.735,Y,F0002,AMAT,202,102
201512004  ,0001,214000006,軸封組,軸封+零件/102238311_000_03,1.0,66000.0,66000.0,1.0,Y,F0015,AGS-台灣,202,102
201512005  ,0001,132000085,軸封新品(日揚),AFS0020CNR10/1000FF011004,1.0,10000.0,10000.0,1.0,Y,F0019,日揚,203,101
201512006  ,0001,131000090,軸封新品,AXM0010WNH00001,1.0,35000.0,35000.0,1.0,Y,O0078,承鋐儀器,202,107
201601001  ,0001,132000159,新品軸封,AXS0005CNR00002,1.0,24500.0,24500.0,1.0,Y,S0011,力積電,201,101
201601002  ,0001,132000110,軸封新品,XBS0010CNR00003,1.0,32000.0,32000.0,1.0,Y,E0001,聚昌,202,103
201601003  ,0001,132000003,軸封新品,XNS0020CNX00001,1.0,77000.0,77000.0,1.0,Y,S0015,新唐,201,101
201601004  ,0001,214000002,軸封組/102106580_000_07,軸封+零件,2.0,0.0,0.0,32.685,y,F0002,AMAT,202,102
201601005  ,0001,132000160,軸封新品(永喬),AFM0020CNR03,2.0,17800.0,35600.0,1.0,Y,F0066,永喬,203,102
201601006  ,0001,132000054,軸封新品,BBS0375CNR00001,5.0,8000.0,40000.0,1.0,Y,E0001,聚昌,202,103
201601007  ,0001,214000001,軸封組,軸封+零件/102104669_000_09,2.0,1870.0,3740.0,33.495,Y,O0006,艾美瑞,223,102
201601008  ,0001,132000049,軸封新品,BXX4167CNR00001,2.0,270000.0,540000.0,1.0,Y,O0048,漢辰,202,101
201601009  ,0001,132000164,軸封新品,AFS0010CNR00004,1.0,23700.0,23700.0,1.0,N,O0079,鈦昇,202,107
201602001  ,0001,132000003,軸封新品,XNS0020CNX00001,1.0,77000.0,77000.0,1.0,Y,S0015,新唐,201,101
201602002  ,0001,131000088,軸封新品,DXS0030WMR00001,1.0,79200.0,79200.0,1.0,Y,F0070,AUOL6A,201,102
201602003  ,0001,214000001,軸封組,軸封+零件/102104669_000_09,1.0,1870.0,7210.0,33.495,Y,O0006,艾美瑞,223,102
201602003  ,0002,214000002,軸封組,軸封+零件/102106580_000_07,2.0,1445.0,7210.0,33.495,Y,O0006,艾美瑞,223,102
201602003  ,0003,214000006,軸封組,軸封+零件/102238311_000_03,1.0,2450.0,7210.0,33.495,Y,O0006,艾美瑞,223,102
201602004  ,0001,131000048,軸封新品,XXS0625ANH00001,1.0,49500.0,99000.0,1.0,Y,S0003,UMC 8C,201,101
201602004  ,0002,131000049,軸封新品,XXS0625ANH00002,1.0,49500.0,99000.0,1.0,Y,S0003,UMC 8C,201,101
201603001  ,0001,214000006,軸封組,軸封+零件/102238311_000_03,2.0,2450.0,4900.0,33.495,Y,O0006,艾美瑞,223,102
201603002  ,0001,131000059,軸封新品,AFS0012WNN00001,1.0,25200.0,25200.0,1.0,Y,O0030,漢民,202,101
201603003  ,0001,131000011,軸封新品,XXS0020WMR00001,2.0,50000.0,100000.0,1.0,Y,S0015,新唐,201,101
201603004  ,0001,131000048,軸封新品,XXS0625ANH00001,1.0,49500.0,99000.0,1.0,Y,S0003,UMC 8C,201,101
201603004  ,0002,131000049,軸封新品,XXS0625ANH00002,1.0,49500.0,99000.0,1.0,Y,S0003,UMC 8C,201,101
201603005  ,0001,131000060,軸封新品,AFS0012WMN00001,1.0,35000.0,35000.0,1.0,Y,O0030,漢民,202,101
201603006  ,0001,131000056,軸封新品,AFM0040WNR00001,1.0,68000.0,68000.0,1.0,Y,O0030,漢民,202,101
201603007  ,0001,132000007,軸封新品,AFS0020CNR00,1.0,15500.0,15500.0,1.0,Y,O0018,巨孚,202,106
201603008  ,0001,131000011,軸封新品,XXS0020WMR00001,2.0,25500.0,51000.0,1.0,Y,S0015,新唐,201,101
201603009  ,0001,214000002,軸封組/102106580_000_07,軸封+零件,1.0,1445.0,1445.0,32.75,Y,F0002,AMAT,202,102
201603010  ,0001,132000054,軸封新品,BBS0375CNR00001,1.0,8000.0,8000.0,1.0,Y,E0001,聚昌,202,103
201603011  ,0001,114000006,軸封+迴轉接頭,131000068+410180001,2.0,73500.0,147000.0,1.0,Y,F0019,日揚,203,101
201603012  ,0001,131000048,軸封新品,XXS0625ANH00001,1.0,49500.0,99000.0,1.0,Y,P0066,聯穎光電,201,103
201603012  ,0002,131000049,軸封新品,XXS0625ANH00002,1.0,49500.0,99000.0,1.0,Y,P0066,聯穎光電,201,103
201604001  ,0001,132000178,軸封新品,AGS0006CNR00002,2.0,16250.0,32500.0,1.0,Y,F0019,日揚,203,101
201604002  ,0001,132000054,軸封新品,BBS0375CNR00001,10.0,8000.0,80000.0,1.0,Y,E0001,聚昌,202,103
201604003  ,0001,131000060,軸封新品,AFS0012WMN00001,1.0,35000.0,65000.0,1.0,Y,O0030,漢民,202,101
201604003  ,0002,132000089,軸封新品,AXM0012CNR00001,1.0,30000.0,65000.0,1.0,Y,O0030,漢民,202,101
201604004  ,0001,131000048,軸封新品,XXS0625ANH00001,1.0,49500.0,99000.0,1.0,Y,S0003,UMC 8C,201,101
201604004  ,0002,131000049,軸封新品,XXS0625ANH00002,1.0,49500.0,99000.0,1.0,Y,S0003,UMC 8C,201,101
201604005  ,0001,132000158,軸封新品,AXS0016CNR00002,1.0,48000.0,48000.0,1.0,Y,O0030,漢民,202,101
201604006  ,0001,132000049,軸封新品,BXX4167CNR00001,3.0,270000.0,810000.0,1.0,Y,O0048,漢辰,202,101
201605001  ,0001,131000048,軸封新品,XXS0625ANH00001,1.0,49500.0,99000.0,1.0,Y,S0003,UMC 8C,201,101
201605001  ,0002,131000049,軸封新品,XXS0625ANH00002,1.0,49500.0,99000.0,1.0,Y,S0003,UMC 8C,201,101
201605002  ,0001,132000054,軸封新品,BBS0375CNR00001,1.0,13000.0,13000.0,1.0,Y,O0062,倍能真空,202,107
201605003  ,0001,131000011,軸封新品,XXS0020WMR00001,2.0,50000.0,100000.0,1.0,Y,S0015,新唐,201,101
201605004  ,0001,132000049,軸封新品,BXX4167CNR00001,3.0,270000.0,810000.0,1.0,Y,O0048,漢辰,202,101
201605005  ,0001,214000001,軸封組/102104669_000_09,軸封+零件,1.0,1870.0,1870.0,32.325,Y,F0002,AMAT,202,102
201606001  ,0001,132000054,軸封新品,BBS0375CNR00001,2.0,8000.0,16000.0,1.0,Y,E0001,聚昌,202,103
201606002  ,0001,214000001,軸封組/102104669_000_09,軸封+零件,1.0,1870.0,1870.0,32.56,Y,F0002,AMAT,202,102
201606003  ,0001,132000007,軸封新品,AFS0020CNR00,4.0,480.0,2036.0,32.56,Y,O0098,CEAC,223,106
201606003  ,0002,99999,FedEX 運費,,1.0,116.0,2036.0,32.56,Y,O0098,CEAC,223,106
201606004  ,0001,132000161,軸封新品,DXS0018CNR00001,4.0,27000.0,108000.0,1.0,Y,F0073,AUOL7A,201,102
201606005  ,0001,132000049,軸封新品,BXX4167CNR00001,3.0,270000.0,810000.0,1.0,Y,O0048,漢辰,202,101
201606006  ,0002,131000026,軸封新品,XXS0105WNH00001/52-121187,1.0,310000.0,310000.0,1.0,Y,S0011,力積電,201,101
201607001  ,0001,132000194,軸封新品,AXS0005CNR00003/31676,1.0,21000.0,21000.0,1.0,Y,S0031,漢磊-3,201,101
201607002  ,0001,214000001,軸封組/102104669_000_09,軸封+零件,1.0,1870.0,1870.0,32.37,Y,F0002,AMAT,202,102
201607003  ,0001,131000011,軸封新品,XXS0020WMR00001,1.0,50000.0,150000.0,1.0,Y,S0015,新唐,201,101
201607003  ,0002,131000011,軸封新品,XXS0020WMR00001,2.0,50000.0,150000.0,1.0,Y,S0015,新唐,201,101
201607004  ,0001,132000207,軸封新品,AFC0042CNR00001,1.0,39500.0,39500.0,1.0,Y,S0024,亮傑,202,101
201608001  ,0001,132000054,軸封新品,BBS0375CNR00001,1.0,8000.0,8000.0,1.0,Y,E0001,聚昌,202,103
201608002  ,0001,131000048,軸封新品,XXS0625ANH00001,1.0,0.0,0.0,1.0,Y,S0003,UMC 8C,201,101
201608002  ,0002,131000049,軸封新品,XXS0625ANH00002,1.0,0.0,0.0,1.0,Y,S0003,UMC 8C,201,101
201608003  ,0001,132000049,軸封新品,BXX4167CNR00001,4.0,270000.0,1080000.0,1.0,Y,O0048,漢辰,202,101
201608004  ,0001,132000054,軸封新品,BBS0375CNR00001,1.0,8000.0,8000.0,1.0,Y,E0001,聚昌,202,103
201608005  ,0001,132000054,軸封新品,BBS0375CNR00001,1.0,8000.0,8000.0,1.0,Y,E0001,聚昌,202,103
201608006  ,0001,132000054,軸封新品,BBS0375CNR00001,1.0,11500.0,11500.0,1.0,Y,S0002,UMC 8AB,201,101
201608007  ,0001,132000057,軸封新品,XXS0030CNR00002,1.0,1775.0,11755.0,32.085,Y,O0006,艾美瑞,223,102
201608007  ,0002,132000171,軸封新品,XXS0030CMR00009,1.0,2675.0,11755.0,32.085,Y,O0006,艾美瑞,223,102
201608007  ,0003,131000094,軸封新品,XXS0030WMR00010,1.0,2280.0,11755.0,32.085,Y,O0006,艾美瑞,223,102
201608007  ,0004,131000096,軸封新品,XXS0030WMR00011,1.0,5025.0,11755.0,32.085,Y,O0006,艾美瑞,223,102
201608008  ,0001,132000102,軸封新品,BXX1000CMN00001,2.0,79500.0,159000.0,1.0,Y,S0034,奈司特,203,101
201608009  ,0001,132000174,軸封新品,AXH0040CNN00001,1.0,41000.0,41000.0,1.0,Y,O0080,準鑫,202,107
201608010  ,0001,214000001,軸封組/102104669_000_09,軸封+零件,1.0,1870.0,1870.0,31.285,Y,F0002,AMAT,202,102
201609001  ,0001,214000001,軸封組/102104669_000_09,軸封+零件,2.0,1870.0,3740.0,31.285,Y,F0002,AMAT,202,102
201609002  ,0001,132000102,軸封新品,BXX1000CMN00001,1.0,85000.0,85000.0,1.0,Y,O0023,亞太竑,203,106
201609003  ,0001,131000048,軸封新品,XXS0625ANH00001,2.0,49500.0,198000.0,1.0,Y,S0003,UMC 8C,201,101
201609003  ,0002,131000049,軸封新品,XXS0625ANH00002,2.0,49500.0,198000.0,1.0,Y,S0003,UMC 8C,201,101
201609004  ,0001,132000007,軸封新品,AFS0020CNR00,1.0,15500.0,15500.0,1.0,Y,O0018,巨孚,202,106
201609005  ,0001,132000054,軸封新品,BBS0375CNR00001,2.0,8000.0,16000.0,1.0,Y,E0001,聚昌,202,103
201609006  ,0001,132000054,軸封新品,BBS0375CNR00001,1.0,10800.0,10800.0,1.0,Y,O0010,加高,201,107
201610001  ,0001,132000054,軸封新品,BBS0375CNR00001,2.0,8000.0,16000.0,1.0,Y,E0001,聚昌,202,103
201610002  ,0002,132000169,軸封新品,AFS0015CNR00001,1.0,33000.0,33000.0,1.0,Y,L0006,兆遠科技,201,103
201610003  ,0001,132000225,軸封新品,DXS0030CMN00002,4.0,85000.0,680000.0,1.0,Y,O0104,亞智,222,102
201610003  ,0002,132000226,軸封新品,DXS0030CMN00003,4.0,85000.0,680000.0,1.0,Y,O0104,亞智,222,102
201610004  ,0001,132000007,軸封新品,AFS0020CNR00,4.0,15500.0,62000.0,1.0,Y,O0018,巨孚,202,106
201610005  ,0001,214000001,軸封組,軸封+零件/102104669_000_09,1.0,1870.0,1870.0,31.27,Y,F0002,AMAT,202,102
201610006  ,0001,132000112,軸封新品,BCM1000CNR00001,1.0,600.0,600.0,31.27,N,O0028,KJLC,223,107
201610007  ,0001,132000007,軸封新品,AFS0020CNR00,1.0,20000.0,20000.0,1.0,Y,S0024,亮傑,202,101
201610008  ,0001,131000026,軸封新品,XXS0105WNH00001/52-121187,1.0,300000.0,300000.0,1.0,Y,S0015,新唐,201,101
201610009  ,0001,132000054,軸封新品,BBS0375CNR00001,2.0,10800.0,21600.0,1.0,Y,O0010,加高,201,107
201610010  ,0001,132000054,軸封新品,BBS0375CNR00001,1.0,11500.0,11500.0,1.0,Y,S0002,UMC 8AB,201,101
201610011  ,0001,131000048,軸封新品,XXS0625ANH00001,1.0,49500.0,49500.0,1.0,Y,S0003,UMC 8C,201,101
201610012  ,0001,214000002,軸封組/102106580_000_07,軸封+零件,1.0,1445.0,1445.0,31.305,Y,F0002,AMAT,202,102
201610013  ,0001,132000218,軸封新品,BXS0375CNR00001,1.0,348.0,696.0,31.305,Y,O0028,KJLC,223,107
201610013  ,0002,132000218,軸封新品,BXS0375CNR00001,1.0,348.0,696.0,31.305,Y,O0028,KJLC,223,107
201611001  ,0001,214000002,軸封組/102106580_000_07,軸封+零件,4.0,1445.0,9000.0,31.55,Y,F0002,AMAT,202,102
201611001  ,0002,114000001,馬達組,102143107_000_11,1.0,3220.0,9000.0,31.55,Y,F0002,AMAT,202,102
201611002  ,0001,131000011,軸封新品,XXS0020WMR00001,2.0,50000.0,100000.0,1.0,Y,S0015,新唐,201,101
201611003  ,0001,214000006,軸封組,軸封+零件/102238311_000_03,3.0,66000.0,198000.0,1.0,Y,F0015,AGS-台灣,202,102
201611004  ,0001,132000227,軸封新品,AFM0038CNR00001,2.0,33000.0,138000.0,1.0,Y,O0122,中研院,201,107
201611004  ,0002,132000228,軸封新品,AFM0038CNR00002,2.0,36000.0,138000.0,1.0,Y,O0122,中研院,201,107
201611005  ,0001,131000113,軸封新品,BXS0625AMH00005/E19284870,1.0,44000.0,88000.0,1.0,Y,S0007,UMC 8S,201,101
201611005  ,0002,131000114,軸封新品,BXS0625AMH00006/E19284880,1.0,44000.0,88000.0,1.0,Y,S0007,UMC 8S,201,101
201611006  ,0001,131000048,軸封新品,XXS0625ANH00001,1.0,49500.0,99000.0,1.0,Y,S0003,UMC 8C,201,101
201611006  ,0002,131000049,軸封新品,XXS0625ANH00002,1.0,49500.0,99000.0,1.0,Y,S0003,UMC 8C,201,101
201611007  ,0001,132000049,軸封新品,BXX4167CNR00001,6.0,270000.0,1587600.0,1.0,Y,O0048,漢辰,202,101
201611008  ,0001,214000002,軸封組/102106580_000_07,軸封+零件,1.0,1445.0,1491.0,31.55,Y,F0002,AMAT,202,102
201611008  ,0002,410030005,正時皮帶 W.Flender,(PU)990-T10-16 FLEX/102143541,2.0,23.0,1491.0,31.55,Y,F0002,AMAT,202,102
201611009  ,0001,214000001,軸封組/102104669_000_09,軸封+零件,2.0,1870.0,3740.0,31.55,Y,F0002,AMAT,202,102
201611010  ,0005,132000240,軸封新品,BCM1000CNR00002,2.0,600.0,1200.0,31.55,Y,O0028,KJLC,223,107
201611011  ,0001,132000220,軸封新品,AFS0010CNR10,2.0,15000.0,30000.0,1.0,Y,O0124,鋒鑫,202,107
